name,struct_name,lambda,mean_pixels,stderr_pixels,mean_error,stderr_error,var_error
addison_pupil,2_3,0.000100,12430.799999999999,1.760232711887834,3.1970315087421551e+43,4.6895995355200426e+43,4.088404187156046e+87
addison_pupil,2_3,0.000215,12336.4,140.23187271373081,3.5519513107044892e+43,5.2102174067790892e+43,5.0465432454461307e+87
addison_pupil,2_3,0.000464,11157.6,1865.7021509460719,2.1332993036709482e+43,3.1292526821409507e+43,1.8203863676171803e+87
addison_pupil,2_3,0.001000,10398.0,2960.545479230474,1.1256886701385449e+43,1.6512283504828164e+43,5.0686999283131379e+86
addison_pupil,2_3,0.002154,9412.6000000000004,3164.2258294446683,6.9939105711106554e+42,1.0259091809405914e+43,1.9565914030677335e+86
addison_pupil,2_3,0.004642,7804.8000000000002,4158.6130452143771,5.6379235950638399e+42,8.270047949296356e+42,1.2714472985511017e+86
addison_pupil,2_3,0.010000,7788.3999999999996,4178.2190259196323,4.4807173640596533e+42,6.572587730784691e+42,8.0307312386342712e+85
addison_pupil,2_3,0.021544,9687.0,3521.946733007755,6.3657593540396464e+42,9.3376815424887944e+42,1.6209156861417297e+86
addison_pupil,2_3,0.046416,8170.1999999999998,3285.8623989380926,8.3271073714700363e+42,1.2214705658886552e+43,2.77362868703962e+86
addison_pupil,2_3,0.100000,2880.1999999999998,1099.1532432792071,9.1702507392836342e+42,1.3451479439583858e+43,3.3637399448532743e+86
